file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
0051a17d08080e05eac0879c960d70d3562abcd6.cl,entry,27,40,1,0,0,0,0,27
0052caa6acc47d872400cbc9da88680d99f22a39.cl,entry,57,92,1,0,0,0,0,57
0052d37bd284564dc673b1cd23f5222a034d2f8a.cl,entry,8,12,1,0,0,0,0,8
0053ce2afcfdab585ef1fb99d7d0cccc95de2514.cl,entry,42,38,1,0,0,0,0,42
00549e80f509b4d68a29c5f43187a12d9c9efe19.cl,entry,10,36,1,0,0,0,0,10
0054a0fc4f0427b90441109162a7dccbee00d36a.cl,entry,7,0,1,0,0,0,0,7
0054d1caaf15b883fbed5fb39a30bd3621d43d99.cl,entry,14,40,1,0,0,0,0,14
0055b1345ba6b6fd8353a9f46e2d9e8a4f056922.cl,entry,12,16,1,0,0,0,0,12
0055edcc5233aa4ab996c904f1b7cafe9e6e09c2.cl,entry,7,29,1,0,0,0,0,7
0058db4c2f1a11d64b2a0f9ae795b19567595934.cl,entry,86,140,1,0,0,0,0,86
0058e06251dfe7cd9a08664d5487ad1223724ed2.cl,entry,39,61,1,0,0,0,0,39
005971e28b8cbad82184c10dc62d58d7bada0f90.cl,entry,142,193,1,0,0,0,0,142
005c0e65bb3556f6f27786da3d1b5c1b48231dae.cl,entry,251,355,1,0,0,0,0,251
005c66d26b82806077c6f03cbc7101e4c268ad03.cl,entry,35,57,1,0,0,0,0,35
005d0354f49b8d06ee973363c833fd263a1662ae.cl,entry,25,22,1,0,0,0,0,25
005e93c2d45770a0f16aed77363fea55759a777f.cl,entry,88,95,1,0,0,0,0,88
005ed1f81f70f7b88c873bc4968b267595927db1.cl,entry,7,0,1,0,0,0,0,7
005edeae82e528be756c12604b6d6b1f224625ad.cl,entry,7,0,1,0,0,0,0,7
005efe9a52a0ff13ceb6358f0db8a999bf520957.cl,entry,32,37,1,0,0,0,0,32
005fef67e00c8a5eb0e717470216cd692f8cbfd4.cl,entry,13,32,1,0,0,0,0,13
0060e29814a706a2ee45da234b7791867172a6b5.cl,entry,7,0,1,0,0,0,0,7
00616b096b46fe8268bee6d4a266bab25394d53c.cl,entry,84,108,1,0,0,0,0,84
006230562d0a3b702617f9143b52c64587be321f.cl,entry,190,215,1,0,0,0,0,190
00631529f01ae836bfc903533db5536d719d01ab.cl,entry,8,19,1,0,0,0,0,8
0064edac557d50509c23b2b8a0c11721528f131b.cl,entry,7,32,1,0,0,0,0,7
0066fa2763ee6516b910b736f72f522c0bada25e.cl,entry,222,288,1,0,0,0,0,222
006812f0b1fc8353ff19d3aed3545e310f9e7f1f.cl,entry,91,145,1,0,0,0,0,91
00687786df1f874bb9b1038b954d0fd55f4206b2.cl,entry,7,0,1,0,0,0,0,7
0068808a36aca65af2b9d481efee6cfe75a187a4.cl,entry,7,2,1,0,0,0,0,7
0068a76eb05f495bf53404a9f0a0345f3fe62079.cl,entry,133,229,1,0,0,0,0,133
0069e55edc12c579fceeefc546434c80369fb068.cl,entry,42,61,1,0,0,0,0,42
006a6d83d3d28e38cddd885b078f93336d240083.cl,entry,25,52,1,0,0,0,0,25
