file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
01b5a9b93dafe2410cd01d502e826c0f450695db.cl,A,2,0,4,0,4,0,1,0.5
01b5ca4038c028948288a20f74abb58f11864128.cl,A,0,0,2,0,2,0,1,0
01b672ffcbdcfd1b0a29abd9808fec64827e340c.cl,A,0,0,4,0,4,0,1,0
01b73aaecec8a289f50e2c0b0a8ec5db8895e8fb.cl,A,0,1,2,0,1,0,0.5,0
01b7edfbdc810131e0135c828e53d88d71abc838.cl,A,0,1,3,0,3,0,1,0
01ba6147ce5e65b97b8e020b15db467d6f8f290d.cl,A,4,2,8,0,6,0,0.75,0.5
01bbae4b1bb40ea591bcd412dc0b57a01c869994.cl,A,1,1,4,0,3,0,0.75,0.25
01bc25a88c0923b38861b94eb7dc16876c2ec874.cl,A,2,2,4,0,4,0,1,0.5
01bcbfadd9e54652218078e174f669b8fe6bfcc7.cl,A,4,3,8,0,7,0,0.875,0.5
01bcd595786db8530963d5171ab1ad306902218a.cl,A,3,1,4,0,4,0,1,0.75
01bcf087d1a594c684afde7c008f2d0a19484f4e.cl,A,0,0,0,0,0,0,0,0
01c04f4ac2e7ebb3a6dbc93f613b169e64e7c3f7.cl,A,6,0,7,0,7,0,1,0.857
01c0cca750fcf6fed7d60f75a2c7966f61d3df1f.cl,A,1,1,4,0,4,0,1,0.25
01c14f7cd1e148d84c2214779af620cf35a0d61c.cl,A,0,0,2,0,0,0,0,0
01c208b36bde854dffd9d6ef525e0078a38a2053.cl,A,0,0,0,0,0,0,0,0
01c3021180e8c5eaa687c4b55c7058c90bdbbd2d.cl,A,1,2,5,0,5,0,1,0.2
01c39da2df622d833a98a9f126f18d68342e9062.cl,A,9,1,5,0,5,0,1,1.8
01c3e316b9eb265f02640bff6473e1e762be0484.cl,A,2,1,3,0,3,0,1,0.667
01c4565a2faffeebe1480c4b55a54abcb6335ea7.cl,A,2,1,5,0,4,0,0.8,0.4
01c54e1449c47a7f33b13c152aa2a57c4e968a76.cl,A,1,1,3,0,3,0,1,0.333
01c6efb6f3f5b3707e931983f50e621203d6813c.cl,A,1,1,1,0,1,0,1,1
01c733f27f90930eb6a06cd390cacec94ff99c88.cl,A,1,1,3,0,1,0,0.333,0.333
01c742acf85c76c3fd42f1e6ff843760e35d7ff6.cl,A,1,2,2,0,2,0,1,0.5
01c84efc9a4e9d236542a04ac268fb9210516259.cl,A,1,0,3,0,3,0,1,0.333
01c92971ef77f6726a605a2081d5b452db56c895.cl,A,3,1,5,0,4,0,0.8,0.6
01c9c908bba9425a1d6ea5166f47fe89c145323b.cl,A,0,1,1,0,1,0,1,0
01ca6127578e6dc094af4ea956e77acbcd4e9eca.cl,A,2,1,4,0,4,0,1,0.5
01cad70b24e4de4f4b63f6ffc95fb638d29fa156.cl,A,2,2,5,1,0,0,0,0.4
01cb2ea5fcc35c1a9aaec38eada74c40e3cfc7c3.cl,A,4,0,5,0,3,0,0.6,0.8
01ced5df1b80830b843f92571ae9b056288a0495.cl,A,1,1,4,0,4,0,1,0.25
01d2e3f81a97cd9e414ab181ccaefd4f0da7e8d7.cl,A,3,2,4,0,1,0,0.25,0.75
01d3539e547d6f162a2f7d9b0c5145be46f31aeb.cl,A,2,0,4,0,4,0,1,0.5
01d3d812967163640848e79c8c584cf080439e3a.cl,A,8,1,4,1,0,0,0,2
01d5bb9eede0a47bf7904258913e45f3b552ac0a.cl,A,1,1,6,0,5,0,0.833,0.167
01d67f740b385d6aca7df38841cd63a003776a1b.cl,A,2,1,4,0,2,0,0.5,0.5
01d6ea95dccba178c051db67aa468b6063ae9d22.cl,A,2,1,6,0,5,0,0.833,0.333
01d7e9655e069ce7d6cca025c9a920b76ceef891.cl,A,4,1,3,0,3,0,1,1.33
01d9318b0670ba9a9a4b7c5fdf9c1aca751cce73.cl,A,1,1,1,0,1,0,1,1
01d93d01f34e231eea7580443b7f64ddda108086.cl,A,2,1,1,0,0,0,0,2
01d95b28251abf118ff23c7950ac3b404dfa9c9f.cl,A,1,2,2,0,1,0,0.5,0.5
01db4d6ab2dfbd769c459364f083f704931d9fa8.cl,A,1,2,3,0,3,0,1,0.333
01db859039bfc04fcc9cd1425fdbf22ee2171c5c.cl,A,0,0,3,0,3,0,1,0
01dc5a7e3ae6a4c580aa594d688ab4a4c428b4d0.cl,A,1,1,2,0,1,0,0.5,0.5
01dce17c9380a5415cc9bb9f893b97d3b0110eec.cl,A,0,1,2,0,0,0,0,0
01dce8f09cc11af36d24fc834c787c5b43607f5f.cl,A,1,0,3,0,3,0,1,0.333
01dd0801d0397a4a6d77a5d6a5e41ee138c3b3a8.cl,A,2,1,6,0,6,0,1,0.333
01dd5c5a6dfcdf564c5437956d280b13a67ab119.cl,A,1,0,3,0,3,0,1,0.333
01dd5c76bdc9145bc3ab6dadc2f2f188389c8a87.cl,A,1,1,3,0,3,0,1,0.333
01dd9ff77a5b0defb4bed2739515cc8f070b92ce.cl,A,0,0,1,0,1,0,1,0
01ddd8765b2d8c60e6d22368b186e319b0751b08.cl,A,0,2,4,0,4,0,1,0
01df236f3dde19efaf853d258259320fb4217423.cl,A,1,1,5,0,5,0,1,0.2
01e05294cf6c06cdde4a5fec5b12d04906db68fd.cl,A,4,1,1,0,1,0,1,4
01e1168a582d29d8bd02cff99b1f0b144e320d99.cl,A,3,1,3,0,2,0,0.667,1
01e5988f676bbe49ce781170577c6b705e4c6235.cl,A,1,1,3,0,3,0,1,0.333
01e5b0eed8b4726852aa262530808d000370a69e.cl,A,1,1,3,0,3,0,1,0.333
01e6c0182fca7f9f25c212919d3de6d57e3c506b.cl,A,0,1,3,0,2,0,0.667,0
01e9b8f0b1f2bc2e5a4f738a4c14ba3490317697.cl,A,1,1,4,0,4,0,1,0.25
01e9e5d2e53b1640354994740a10215703e86033.cl,A,1,2,4,0,3,0,0.75,0.25
01ea8cdddff5a5b2657935e84e373fb1c2790a17.cl,A,2,1,5,0,5,0,1,0.4
01eab4b8deff851a9932067139598367683d0bf2.cl,A,3,1,2,0,1,0,0.5,1.5
01eb14dd9bfa43a9a9d8856a0d0cafadcd9b3c4d.cl,A,0,1,1,0,1,0,1,0
01ebc4f6595b5e299d80c934bb880822f7c93ab3.cl,A,3,1,3,0,3,0,1,1
01ecee0cbb43799d61ee2b27699a6ec410c39f47.cl,A,9,1,2,0,2,0,1,4.5
01ed26c6d7ad8e52eb53c71c55c4cbf07c48d68b.cl,A,4,1,4,0,4,0,1,1
01eda61a934d92db57e89f1b889846d12087d6cd.cl,A,2,1,3,0,3,0,1,0.667
01ef7193943d386188da0092f67d94935835cfab.cl,A,2,1,5,0,4,0,0.8,0.4
01eff112c4bd9a9cb6d1239520474a63d4e8c094.cl,A,2,1,3,0,3,0,1,0.667
01f1767f4bc1c2ac6cce27661ad8706ebb769287.cl,A,1,2,5,0,4,0,0.8,0.2
01f2de27f1636123eaec13af3068fc1bb2920b7e.cl,A,2,0,1,0,0,0,0,2
01f719f6054402a401db4996d43bb49a9c2511d8.cl,A,0,2,5,0,3,0,0.6,0
01f835471eb0f99b524e3dd1acbd18c24054073d.cl,A,30,1,17,0,11,0,0.647,1.76
01fa1b8547aa50bec3138c9b067c7cea9ff26a2e.cl,A,2,1,5,0,2,0,0.4,0.4
01fa86f26d1334d7308ed3b7773f23fb6a1a4501.cl,A,2,1,2,0,2,0,1,1
01fb2a051dfe402a075f7acb86dd5506a6643b2a.cl,A,0,0,2,0,1,0,0.5,0
01fba8b4d953b9905b4c85ac9f0ccdd99851ec9c.cl,A,3,1,6,0,5,0,0.833,0.5
01fd3e1070ccbc018f8c3133cc1afe40036718a3.cl,A,1,0,3,0,3,0,1,0.333
01fe7d68eed6b61aba3b5e22c3124cb15dae86d3.cl,A,3,2,6,0,5,0,0.833,0.5
01ffa427f0d1a662abf0602cb9a0fd75178dafbe.cl,A,3,1,3,0,2,0,0.667,1
02011d2ae263173ea3ea1f021ef12ce6b024a05a.cl,A,0,1,3,0,2,0,0.667,0
0201d2f511318fa0e0de77e8ed1142fa5db7ea30.cl,A,1,0,2,0,2,0,1,0.5
0202ee6307d0f37d97f789c37cdba4c3ae1d382a.cl,A,4,1,7,0,7,0,1,0.571
